match_number,innings,balls,batting_team,bowling_team,striker,non_striker,runs_off_bat,extras,running_runs,fours,sixes,total_runs,bowler,wicket_type,caught,bowled,lbw,run_out,total_wickets,is_boundary,player_dismissed,team1,team2,date,venue,city,toss_winner,toss_decision,player_of_match,umpire1,umpire2,reserve_umpire,match_referee,winner,winner_runs,winner_wickets,match_type,match_id,is_wickets
13,1,0.2,Papua New Guinea,West Indies,TP Ura,A Vala,1,0,1,0,0,1,AJ Hosein,not out,0,0,0,0,0,NO,y shashank,Canada,Ireland,07-06-2024,Nassau County International Cricket Stadium,New York,Ireland,field,NR Kirton,RA Kettleborough,SJ Nogajski,CB Gaffaney,RB Richardson,Canada,53,0,Group,1,1
14,1,0.2,Papua New Guinea,West Indies,TP Ura,A Vala,1,0,1,0,0,1,AJ Hosein,not out,0,0,0,0,0,NO,y shashank,Afghanistan,New Zealand,07-06-2024,Providence Stadium,Providence,New Zealand,field,Rahmanullah Gurbaz,Ahsan Raza,HDPK Dharmasena,AT Holdstock,J Srinath,Afghanistan,84,0,Group,1,1
15,1,0.2,Papua New Guinea,West Indies,TP Ura,A Vala,1,0,1,0,0,1,AJ Hosein,not out,0,0,0,0,0,NO,y shashank,Sri Lanka,Bangladesh,07-06-2024,Grand Prairie Stadium,Dallas,Bangladesh,field,Rishad Hossain,MA Gough,PR Reiffel,RJ Tucker,JJ Crowe,Bangladesh,15,2,Group,1,1
16,1,0.2,Papua New Guinea,West Indies,TP Ura,A Vala,1,0,1,0,0,1,AJ Hosein,not out,0,0,0,0,0,NO,y shashank,Netherlands,South Africa,08-06-2024,Nassau County International Cricket Stadium,New York,South Africa,field,DA Miller,CB Gaffaney,Sharfuddoula,SJ Nogajski,DC Boon,South Africa,15,4,Group,1,1
17,1,0.2,Papua New Guinea,West Indies,TP Ura,A Vala,1,0,1,0,0,1,AJ Hosein,not out,0,0,0,0,0,NO,y shashank,Australia,England,08-06-2024,Kensington Oval,Bridgetown,England,field,A Zampa,JS Wilson,Nitin Menon,J Madanagopal,AJ Pycroft,Australia,36,0,Group,1,1
18,1,0.2,Papua New Guinea,West Indies,TP Ura,A Vala,1,0,1,0,0,1,AJ Hosein,not out,0,0,0,0,0,NO,y shashank,West Indies,Uganda,08-06-2024,Providence Stadium,Providence,West Indies,bat,AJ Hosein,HDPK Dharmasena,Rashid Riaz,Ahsan Raza,J Srinath,West Indies,10,0,Group,1,1
19,1,0.2,Papua New Guinea,West Indies,TP Ura,A Vala,1,0,1,0,0,1,AJ Hosein,not out,0,0,0,0,0,NO,y shashank,India,Pakistan,09-06-2024,Nassau County International Cricket Stadium,New York,Pakistan,field,JJ Bumrah,RK Illingworth,RJ Tucker,Sharfuddoula,DC Boon,India,5,0,Group,1,1
20,1,0.2,Papua New Guinea,West Indies,TP Ura,A Vala,1,0,1,0,0,1,AJ Hosein,not out,0,0,0,0,0,NO,y shashank,Oman,Scotland,09-06-2024,Sir Vivian Richards Stadium,North Sound,Oman,bat,BJ McMullen,A Paleker,CM Brown,AG Wharf,RB Richardson,Scotland,15,7,Group,1,1
21,1,0.2,Papua New Guinea,West Indies,TP Ura,A Vala,1,0,1,0,0,1,AJ Hosein,not out,0,0,0,0,0,NO,y shashank,South Africa,Bangladesh,10-06-2024,Nassau County International Cricket Stadium,New York,South Africa,bat,H Klaasen,RK Illingworth,SJ Nogajski,PR Reiffel,RS Madugalle,South Africa,100,0,Group,1,1
22,1,0.2,Papua New Guinea,West Indies,TP Ura,A Vala,1,0,1,0,0,1,AJ Hosein,not out,0,0,0,0,0,NO,y shashank,Canada,Pakistan,11-06-2024,Nassau County International Cricket Stadium,New York,Pakistan,field,Mohammad Amir,AT Holdstock,HDPK Dharmasena,PR Reiffel,RS Madugalle,Pakistan,15,7,Group,1,1
24,1,0.2,Papua New Guinea,West Indies,TP Ura,A Vala,1,0,1,0,0,1,AJ Hosein,not out,0,0,0,0,0,NO,y shashank,Namibia,Australia,11-06-2024,Sir Vivian Richards Stadium,North Sound,Australia,field,A Zampa,Nitin Menon,Rashid Riaz,A Paleker,J Srinath,Australia,15,9,Group,1,1
